A001ABANO TERME                                       PD35031D3AB
A006ABBADIA SAN SALVATORE                             SI00000I9AB
A007ABBASANTA                                         OR09071V4AB
A008ABBATEGGIO                                        PE65020N3AB
A010ABBIATEGRASSO                                     MI20081C1AC
A012ABETONE                                           PT51021I8AB
A013ABRIOLA                                           PZ85010S1AB
A014ACATE                                             RG97011U7AB
A015ACCADIA                                           FG71021R3AB
A016ACCEGLIO                                          CN12021A4AB
A017ACCETTURA                                         MT75011S2AB
A018ACCIANO                                           AQ67020N1AB
A019ACCUMOLI                                          RI02011M4AB
A020ACERENZA                                          PZ85011S1AC
A023ACERNO                                            SA84042Q5AB
A024ACERRA                                            NA80011Q1AB
A025ACI BONACCORSI                                    CT95020U4AB
A026ACI CASTELLO                                      CT95021U4AC
A027ACI CATENA                                        CT95022U4AD
A028ACIREALE                                          CT95024U4AE
A029ACI SANT'ANTONIO                                  CT00000U4AF
A031ACQUACANINA                                       MC62033K3AB
A032ACQUAFONDATA                                      FR03040M2AB
A033ACQUAFORMOSA                                      CS87010T3AB
A034ACQUAFREDDA                                       BS25010C3AB
A035ACQUALAGNA                                        PS61041K4AB
A039ACQUANEGRA CREMONESE                              CR26020C5AC
A038ACQUANEGRA SUL CHIESE                             MN46011C6AB
A040ACQUAPENDENTE                                     VT01021M5AB
A041ACQUAPPESA                                        CS87020T3AC
A042ACQUARICA DEL CAPO                                LE73040R4AB
A044ACQUASANTA TERME                                  AP63041K2AB
A045ACQUASPARTA                                       TR05021L2AB
A050ACQUAVIVA COLLECROCE                              CB86030P1AB
A048ACQUAVIVA DELLE FONTI                             BA70021R1AB
A051ACQUAVIVA D'ISERNIA                               IS86080P2AB
A047ACQUAVIVA PICENA                                  AP63030K2AC
A049ACQUAVIVA PLATANI                                 CL93010U3AB
M211ACQUEDOLCI                                        ME98070U6ER
A052ACQUI TERME                                       AL15011A2AB
A053ACRI                                              CS87041T3AD
A054ACUTO                                             FR03010M2AC
A055ADELFIA                                           BA70010R1AC
A056ADRANO                                            CT95031U4AG
A057ADRARA SAN MARTINO                                BG00000C2AB
A058ADRARA SAN ROCCO                                  BG00000C2AC
A059ADRIA                                             RO45011D4AB
A060ADRO                                              BS25030C3AE
A061AFFI                                              VR37010D6AB
A062AFFILE                                            RM00021M1AB
A064AFRAGOLA                                          NA80021Q1AC
A065AFRICO                                            RC89030T1AB
A067AGAZZANO                                          PC29010H6AB
A068AGEROLA                                           NA80051Q1AD
A069AGGIUS                                            SS07020V3AB
A070AGIRA                                             EN94011U5AB
A071AGLIANA                                           PT51031I8AC
A074AGLIE'                                            TO10011A1AC
H848AGLIENTU                                          SS07020V3CR
A075AGNA                                              PD35021D3AC
A076AGNADELLO                                         CR26020C5AD
A077AGNANA CALABRA                                    RC89040T1AC
A080AGNONE                                            IS86081P2AC
A082AGNOSINE                                          BS25071C3AF
A083AGORDO                                            BL32021D2AB
A084AGOSTA                                            RM00020M1AC
A085AGRA                                              VA21010C9AC
A087AGRATE BRIANZA                                    MI20041C1AF
A088AGRATE CONTURBIA                                  NO00000A5AE
A089AGRIGENTO                                         AG92100U2AA
A091AGROPOLI                                          SA84043Q5AC
A092AGUGLIANO                                         AN60020K1AB
A093AGUGLIARO                                         VI36020D7AB
A096AICURZIO                                          MI20040C1AG
A097AIDOMAGGIORE                                      OR09070V4AC
A098AIDONE                                            EN94010U5AC
A100AIELLI                                            AQ67041N1AC
A102AIELLO CALABRO                                    CS87031T3AE
A103AIELLO DEL FRIULI                                 UD33041F6AB
A101AIELLO DEL SABATO                                 AV83020Q2AB
A105AIETA                                             CS87020T3AG
A106AILANO                                            CE81010Q4AC
A109AIRASCA                                           TO10060A1AD
A110AIROLA                                            BN82011Q3AB
A111AIROLE                                            IM18030G2AB
A113AISONE                                            CN12010A4AC
